"","E_58_10382","E_71_7760","E_71_9958","E_71_9959","E_84_1104","E_89_1027","E_89_1027B","E_89_1028","E_89_1029","E_90_925","E_90_926","E_92_931","E_92_932","E_92_933","E_94_10462","E_94_10463","E_95_930","E_98_927","E_98_928","S_02_9952","S_02_9953","S_05_829","S_05_829B","S_05_830","S_05_831","S_05_832","S_07_810","S_07_817","S_07_818","S_07_819","S_23_7387","S_24_851","S_24_852","S_24_853","S_24_854","S_27_816","S_31_6083","S_33_8366","S_33_8367","S_33_8368","S_34_8369","S_34_8372","S_50_824","S_50_825","S_50_826","S_53_465","S_54_803","S_54_804","S_54_805","S_99_855","S_99_856","S_99_857","W_26_6364","W_26_6365","W_44_934","W_45_10195","W_45_10195B","W_65_1775","W_66_941","W_66_941B","W_66_941C","W_66_942","W_67_10250","W_67_10251","W_67_10253","W_79_838","W_79_840","W_79_843","W_79_844","W_79_845","W_83_6366","W_88_935"
"E_58_10382",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_71_7760",0.165359513477437,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_71_9958",0.146500616964691,0.0918666072434112,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_71_9959",0.187552216664551,0.0900122249820221,0.085054991824825,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_84_1104",0.167634123804153,0.148121637314181,0.157563523419864,0.184409454352426,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_89_1027",0.15643365545957,0.230590360166094,0.229022960763408,0.257325019069014,0.168592642096013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_89_1027B",0.152049340502722,0.228157265340508,0.224587863267149,0.25285318755358,0.169954618238978,0.00243309482558644,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_89_1028",0.179799706538694,0.234219953634776,0.222702223378923,0.269097883230452,0.146211202007694,0.113151939850612,0.112522272024176,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_89_1029",0.165178510236575,0.231421310288616,0.208135386931288,0.241953267207363,0.163998457092298,0.112351299167125,0.109918204341538,0.110801535897815,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_90_925",0.178612969248913,0.239027335714164,0.235453917584612,0.251585440269963,0.156261322461694,0.110354174351611,0.111518205706874,0.115985770490966,0.113391407353452,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_90_926",0.172990420041162,0.231398767779547,0.209989447577857,0.237930719364948,0.175099070824103,0.115562055918229,0.118588483297542,0.123010182983982,0.114963133779728,0.105791038163152,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_92_931",0.190157364958796,0.216439548480122,0.189305368105429,0.219015193152565,0.143534043547647,0.132333575203064,0.129900480377478,0.110415219574189,0.116887338219782,0.109404625010798,0.118354282662138,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_92_932",0.16953930553617,0.21210087246572,0.183556885364832,0.208984209501819,0.175821683683628,0.121982689892391,0.119549595066805,0.127614286031747,0.105268826361484,0.128413646713595,0.111960666731474,0.112012665022449,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_92_933",0.163219645751242,0.223468982098121,0.223883743899427,0.235971195529816,0.17531933271678,0.117771366636464,0.120787876578442,0.132502206630933,0.129875081421412,0.131475082786747,0.127679018105031,0.113244346941281,0.11958034075474,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_94_10462",0.153343422657366,0.215493859939882,0.194394589619951,0.237930719364948,0.163735312173788,0.117378586844627,0.116765328736026,0.130309485465594,0.114963133779728,0.140308543045866,0.127319478021352,0.127570937767061,0.137416586724823,0.136861819087366,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_94_10463",0.167576596368321,0.229835327405489,0.204691197438806,0.222589861557597,0.172040960843722,0.121982689892391,0.121366125993203,0.149633524275664,0.107046604607483,0.132050014356979,0.135576659802816,0.137702151137759,0.13284809912339,0.12138376775389,0.111960666731474,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_95_930",0.118632285088095,0.161228184882401,0.159660785479715,0.193338869702472,0.130791271724537,0.100828526924431,0.0983954320988443,0.112051936329564,0.109383881471282,0.110983882836617,0.101636934537884,0.105768278098514,0.108057568512046,0.0982520411024373,0.0960762158531864,0.119272639332186,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_98_927",0.172621163461612,0.243082250967584,0.217513699465356,0.235551602719852,0.169121806181869,0.10994165594915,0.112928628592903,0.120993319557845,0.105803941422258,0.103838876623098,0.114360175786703,0.119967187286579,0.102859183143509,0.114772611405019,0.123442890361022,0.118974124535916,0.101392828415112,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_98_928",0.160207060799286,0.236206035796692,0.218796720928348,0.238769823066262,0.163170445695416,0.135318343758391,0.132885248932804,0.131817456334473,0.120166799626921,0.125370408495555,0.132463743613106,0.141949256167008,0.135234738499719,0.127387047600408,0.110763072879988,0.120767940081966,0.12354074680822,0.115960210732245,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_02_9952",0.16616408170522,0.151501550755811,0.166253643181727,0.163639112515184,0.197666031184793,0.242955750794953,0.238520653298693,0.240603272586088,0.23583437272698,0.255416876642748,0.237770134468195,0.236804981776057,0.244190768442357,0.247786706250821,0.214146988704759,0.238232458858727,0.177484631004226,0.265620669309493,0.217134653001986,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_02_9953",0.128750616513511,0.157883173037893,0.144908805841831,0.172169779783417,0.183446103396294,0.224889368537132,0.220379429766707,0.240970380550829,0.238071103210421,0.245980273769021,0.225697776150585,0.220899253486216,0.232118410124747,0.219378970198268,0.201055872213656,0.221777056330015,0.156379341546491,0.239863146846147,0.226223428669354,0.087708609010523,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_05_829",0.128113978876289,0.156237512943645,0.154670113540959,0.166601293876795,0.180416764008348,0.219419887630344,0.213034218488935,0.233003811960195,0.218327824783091,0.237803177975389,0.220228295243797,0.223215433408423,0.22863109042195,0.228219102261833,0.196743850010728,0.23260723880159,0.158134072025799,0.237809603046969,0.217224407665943,0.089545071110479,0.0743660639645761,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_05_829B",0.128113978876289,0.156237512943645,0.154670113540959,0.166601293876795,0.180416764008348,0.219419887630344,0.213034218488935,0.233003811960195,0.218327824783091,0.237803177975389,0.220228295243797,0.223215433408423,0.22863109042195,0.228219102261833,0.196743850010728,0.23260723880159,0.158134072025799,0.237809603046969,0.217224407665943,0.089545071110479,0.0743660639645761,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_05_830",0.120523083985505,0.133674404314323,0.126647482706738,0.145864669773508,0.148444066638135,0.200665424731048,0.198232329905462,0.202336619654306,0.21146654717342,0.22511488705493,0.191602083865347,0.206494878960026,0.201959730798849,0.193661922539914,0.177943334934307,0.217864638638513,0.135465080171458,0.211054906618119,0.190634108311195,0.0772902620631008,0.0660080240939284,0.0708305694222031,0.0708305694222031,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_05_831",0.170024874491926,0.161737068509684,0.163852914523294,0.173954268182054,0.197511197367649,0.243469142863014,0.241036048037428,0.247074395857137,0.262600648461079,0.256003882622236,0.240228961950466,0.227231503063313,0.24261733239669,0.236203176610054,0.212338707968634,0.250698184450629,0.167852321494721,0.243864111955676,0.245003971773019,0.104864519643992,0.0849668699512166,0.0984400728132525,0.0984400728132525,0.0915925608706323,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_05_832",0.166543539380613,0.164075342451635,0.162507943048949,0.198681537017484,0.211410293710676,0.253954101372783,0.251521006547197,0.243358160890382,0.252668829811215,0.258342156564187,0.24054907173618,0.237650629059203,0.259140241330598,0.242557520206895,0.214676981910585,0.244955606338641,0.16047234596775,0.266652996368917,0.24734224571497,0.100365160108339,0.092647988303663,0.0973360025642306,0.0973360025642306,0.080041722651916,0.107698789599777,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_07_810",0.169238915923359,0.163407461407836,0.1654897010927,0.170121578946924,0.204506688480986,0.258353776662924,0.25388609313955,0.274220876696306,0.261150143421005,0.272964738196059,0.263243822596025,0.240065189986755,0.255451019320132,0.269313454060166,0.243000216319379,0.263548229552751,0.19640636398623,0.275134309978707,0.243823415321649,0.075342502486727,0.0940118341445887,0.0870933649077326,0.0870933649077326,0.0885230362617055,0.102386781077231,0.130745603721078,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_07_817",0.195789296836723,0.18717778361248,0.172754376108261,0.192021696781101,0.228982766862061,0.290102960097104,0.285588699067692,0.283312036237901,0.280455896372319,0.300709288328788,0.290911367710556,0.261326885148606,0.270608931543965,0.282511395554415,0.252091375860974,0.272639389094347,0.217497667530936,0.298793885348593,0.258896646540792,0.112839916188056,0.124609198907148,0.108059133870041,0.108059133870041,0.11500593851517,0.127008882649703,0.148662945890945,0.0528481398986955,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_07_818",0.193223243562097,0.182652865852521,0.177395425362382,0.187496779021142,0.232239989544157,0.28349687613332,0.278986937362894,0.278787118477943,0.280046210757466,0.29409450564937,0.278087647135902,0.250698184450629,0.276277781973549,0.282110194978318,0.249572476827881,0.270149060032175,0.214986849142678,0.296367604245555,0.256373731451506,0.106621517921763,0.107482854269185,0.103534216110082,0.103534216110082,0.113995962862655,0.122483964889744,0.138832975901293,0.0515232248694073,0.0244184582795296,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_07_819",0.141768720449215,0.132836864208792,0.138489712779593,0.148591066438353,0.177109196485736,0.226297082974799,0.225874039077237,0.231928679114154,0.233138089358692,0.236752190095728,0.227105490588252,0.230261655761382,0.225526081895338,0.225122014370456,0.205257551062382,0.241590684399144,0.168614342049494,0.238809298194656,0.210143250759691,0.0774091435426028,0.0761110896865958,0.0930845418744701,0.0930845418744701,0.0706222918037127,0.0896362625955541,0.128788509660221,0.0452116788520634,0.0690693085099597,0.0595979668146752,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_23_7387",0.140477847100701,0.151806012868004,0.159387808118906,0.171329088699673,0.185300640555935,0.226590354832748,0.222163241400297,0.25034933556466,0.227437241273742,0.239027335714164,0.243495689488375,0.220431569749659,0.221914493914045,0.237427334348828,0.199837962867329,0.235817399083036,0.169025495342433,0.249173640360986,0.210588871426392,0.121384128291654,0.10391659082572,0.106316274568276,0.106316274568276,0.10489543976428,0.154411028417611,0.129744961167887,0.122366911537569,0.15982876820838,0.149922671543904,0.107968797630778,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_24_851",0.1677119567612,0.181991213368416,0.178559880527667,0.213167644374249,0.218394578868714,0.255011984874623,0.250540153359189,0.281262868216714,0.270099440497681,0.263485843325628,0.257863294117876,0.271649855742078,0.258167701074603,0.239640233012972,0.24163575749612,0.266331011713763,0.193015885916091,0.2635745651346,0.256497539755317,0.150553981338881,0.113767278937982,0.142548273045998,0.142548273045998,0.125402317073439,0.153359189150214,0.162970222421245,0.148005917456353,0.176899704294128,0.177844262338705,0.119466774793305,0.148960687691934,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_24_852",0.134970316985362,0.15913092282255,0.159410246013029,0.191942446659971,0.195060582571384,0.235153408614352,0.230698068407997,0.246876394147109,0.242010707215453,0.251757393148606,0.24818192756258,0.255746034154576,0.230309868967697,0.223919761566413,0.213938904140367,0.22631784769816,0.175329126155439,0.249794832187021,0.228704487074489,0.131708063392996,0.0947924202401931,0.127242001521093,0.127242001521093,0.106505377417805,0.141630738973192,0.149418617682708,0.138061589072833,0.15792484559634,0.15882980543075,0.105976209622884,0.119342672764137,0.0537378582545646,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_24_853",0.161937157267316,0.176409803530221,0.176699414874748,0.20556304498903,0.21257496981545,0.261153252896706,0.256668875300562,0.27918170201289,0.272163424718532,0.269639708900006,0.259910377739601,0.273744097345193,0.258167701074603,0.249690568866474,0.235617685170557,0.258167701074603,0.197007907185628,0.269753781500558,0.256497539755317,0.145211136928386,0.111950748011584,0.14075776227221,0.14075776227221,0.114668761430331,0.164288259682404,0.168459714706016,0.148005917456353,0.17508317336773,0.177844262338705,0.121232000317874,0.136404468916521,0.0588873373335435,0.0520890532643807,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_24_854",0.181675608175566,0.195561402087441,0.192108987988984,0.219304775007044,0.232449430939788,0.301127641727407,0.296564620643996,0.298266617821109,0.303828670925451,0.303303272978473,0.295559832201584,0.295105326510278,0.297752130066225,0.280694095523794,0.272522164134567,0.283092181655541,0.225664916719621,0.314267170185326,0.277197200200147,0.149301949368776,0.116080313132373,0.162944982673685,0.162944982673685,0.122334172363314,0.172110949687765,0.159823734410737,0.157474617246157,0.190181769859093,0.187496779021142,0.130637262821757,0.158520130407092,0.0546644005481493,0.0544020874587719,0.0661305376357935,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_27_816",0.141709407342875,0.144056475561143,0.151538911678375,0.16710974114167,0.186528627333939,0.231708492425463,0.229275397599877,0.239342091235492,0.238541450552005,0.254268831176551,0.244589481273185,0.229569777005264,0.240939536683751,0.218699529753001,0.204901733005943,0.223064184856788,0.170190595436672,0.252293775291029,0.209825506330036,0.0952674430366706,0.0819906938296751,0.104232581623291,0.104232581623291,0.0731688433641539,0.123447146567916,0.11525900752288,0.108155590115971,0.125874930880905,0.124822238831695,0.0885381070389238,0.106916928611686,0.134191257871201,0.108378067812441,0.113137848673369,0.131199239835899,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
